Place,Price,Bedroom,Bathroom,Saleable Area,Area,Region
MARINELLA 深湾九號,125000.0,4.0,3.0,153.29, Aberdeen/Ap Lei Chau, Hong Kong Island
Burnside Villa 濱景園,125000.0,3.0,3.0,232.82, Peak/South, Hong Kong Island
Branksome Crest BRANKSOME CREST,124000.0,3.0,2.0,161.74, Sheung Wan/Central/Admiralty, Hong Kong Island
ST. JOAN COURT 勝宗大廈,123000.0,2.0,1.0,158.96, Mid Level Central, Hong Kong Island
Bowen's Lookout 寶雲道13號,121000.0,4.0,3.0,158.12, Mid Level Central, Hong Kong Island
Splendour Villa 雅景閣,120000.0,3.0,5.0,203.18, Peak/South, Hong Kong Island
Aigburth 譽皇居,120000.0,3.0,2.0,195.28, Mid Level Central, Hong Kong Island
Regalia Bay 富豪海灣,120000.0,5.0,4.0,282.52, Peak/South, Hong Kong Island
The Mount Austin The Mount Austin,120000.0,3.0,3.0,189.06, Peak/South, Hong Kong Island
L'Harmonie 葆琳居,120000.0,4.0,4.0,216.09, Peak/South, Hong Kong Island
ST. JOAN COURT 勝宗大廈,120000.0,2.0,2.0,158.96, Mid Level Central, Hong Kong Island
ST. JOAN COURT 勝宗大廈,120000.0,2.0,2.0,158.96, Mid Level Central, Hong Kong Island
Rose Gardens 玫瑰別墅,120000.0,4.0,2.0,207.64, Mid Level Central, Hong Kong Island
HONG KONG PARKVIEW 陽明山莊,120000.0,4.0,3.0,201.51, Peak/South, Hong Kong Island
Branksome Crest BRANKSOME CREST,120000.0,3.0,2.0,161.74, Sheung Wan/Central/Admiralty, Hong Kong Island
La Hacienda,120000.0,3.0,3.0,224.36, Peak/South, Hong Kong Island
HONG KONG PARKVIEW 陽明山莊,120000.0,4.0,3.5,203.27, Peak/South, Hong Kong Island
45 Island Road 香島道45號,120000.0,4.0,3.0,122.07, Peak/South, Hong Kong Island
Belgravia -,120000.0,4.0,3.0,204.11, Peak/South, Hong Kong Island
Sunderland Estate 新德園,120000.0,3.0,2.0,262.17, Kowloon Tong/Beacon Hill, Kowloon
Tam Gardens 譚亦衡樓,120000.0,4.0,3.0,260.13, Peak/South, Hong Kong Island
Sunderland Estate 新德園,120000.0,3.0,3.5,218.69, Kowloon Tong/Beacon Hill, Kowloon
Pine Grove 蘊真閣,120000.0,4.0,2.0,325.16, Peak/South, Hong Kong Island
Cullinan West 匯璽,120000.0,4.0,3.0,183.67, Olympic Station, Kowloon
The Luna The Luna,120000.0,,1.0,164.53, Wanchai/Causeway Bay, Hong Kong Island
ST. JOAN COURT 勝宗大廈,120000.0,2.0,1.0,158.96, Mid Level Central, Hong Kong Island
The Repulse Bay 影灣園,119000.0,4.0,0.5,202.53, Peak/South, Hong Kong Island
HONG KONG PARKVIEW 陽明山莊,118000.0,3.0,3.5,192.03, Peak/South, Hong Kong Island
Park Place 雅柏苑,118000.0,3.0,2.5,192.31, Peak/South, Hong Kong Island
Tam Gardens 譚亦衡樓,120000.0,4.0,1.0,325.16, Peak/South, Hong Kong Island
ST. JOAN COURT 勝宗大廈,115000.0,2.0,2.0,158.96, Mid Level Central, Hong Kong Island
