Place,Price,Bedroom,Bathroom,Saleable Area,Area,Region
The Belcher's 寶翠園,42000.0,2.0,1.0,70.14, Kennedy Town/Sai Yin Pun, Hong Kong Island
The Gloucester 尚匯,41800.0,2.0,1.0,64.1, Wanchai/Causeway Bay, Hong Kong Island
Pacific Palisades 寶馬山花園,41000.0,3.0,2.0,77.11, Mid Level North Point, Hong Kong Island
Resiglow - Pokfulam -,41200.0,2.0,1.0,51.19, Kennedy Town/Sai Yin Pun, Hong Kong Island
The Kennedy On Belcher's 雋庭,40800.0,2.0,1.0,40.04, Kennedy Town/Sai Yin Pun, Hong Kong Island
Pacific Palisades 寶馬山花園,41000.0,3.0,2.0,76.18, Mid Level North Point, Hong Kong Island
ST. JOAN COURT 勝宗大廈,41000.0,1.0,1.0,68.93, Mid Level Central, Hong Kong Island
The Kennedy On Belcher's 雋庭,41000.0,2.0,1.0,40.32, Kennedy Town/Sai Yin Pun, Hong Kong Island
Hillsborough Court 曉峰閣,41000.0,2.0,1.0,71.54, Mid Level Central, Hong Kong Island
Pacific Palisades 寶馬山花園,41000.0,3.0,2.0,5.57, Mid Level North Point, Hong Kong Island
Hillsborough Court 曉峰閣,41000.0,2.0,2.0,71.63, Mid Level Central, Hong Kong Island
Miramar Villa 美麗村,41000.0,2.0,2.0,80.08, Happy Valley/Mid Level East, Hong Kong Island
The Luna The Luna,40700.0,1.0,1.0,55.28, Wanchai/Causeway Bay, Hong Kong Island
Glen Circuit 雲景大廈,40000.0,3.0,2.0,74.32, North Point/Fortress Hill, Hong Kong Island
Pacific Palisades 寶馬山花園,40000.0,3.0,1.0,77.11, Mid Level North Point, Hong Kong Island
Pacific Palisades 寶馬山花園,40000.0,3.0,2.0,79.62, Mid Level North Point, Hong Kong Island
"Marine View (block H3) Ph 2-Midvale Village 愉景灣, 2期畔峰",40000.0,3.0,2.0,107.49, Discovery Bay/Islands, New Territories West
Providence Bay 天賦海灣,40000.0,3.0,2.0,108.79, Tai Po Mid Level/Hong Lok Yuen, New Territories East
ST. JOAN COURT 勝宗大廈,40000.0,1.0,1.0,68.93, Mid Level Central, Hong Kong Island
ST. JOAN COURT 勝宗大廈,40000.0,1.0,1.0,68.93, Mid Level Central, Hong Kong Island
ST. JOAN COURT 勝宗大廈,40000.0,1.0,1.0,54.63, Mid Level Central, Hong Kong Island
ST. JOAN COURT 勝宗大廈,40000.0,1.0,1.0,68.93, Mid Level Central, Hong Kong Island
ST. JOAN COURT 勝宗大廈,40000.0,1.0,1.0,68.93, Mid Level Central, Hong Kong Island
Pacific Palisades 寶馬山花園,40000.0,3.0,2.0,79.62, Mid Level North Point, Hong Kong Island
Pacific Palisades 寶馬山花園,40000.0,3.0,2.0,81.2, Mid Level North Point, Hong Kong Island
Phoenix Court 鳳凰閣,40000.0,3.0,2.0,82.68, Wanchai/Causeway Bay, Hong Kong Island
62B Robinson Road 愛富華庭,40000.0,3.0,2.0,77.11, Mid Level West, Hong Kong Island
Caroline Garden 加路連花園,40000.0,3.0,2.0,74.14, Happy Valley/Mid Level East, Hong Kong Island
2 Park Road 柏道2號,40000.0,2.0,2.0,60.39, Mid Level West, Hong Kong Island
Pacific Palisades 寶馬山花園,40000.0,3.0,2.0,75.72, Mid Level North Point, Hong Kong Island
Pacific Palisades 寶馬山花園,40000.0,3.0,2.0,77.11, Mid Level North Point, Hong Kong Island
Pacific Palisades 寶馬山花園,40000.0,2.0,3.0,79.62, Mid Level North Point, Hong Kong Island
Pacific Palisades 寶馬山花園,40000.0,3.0,2.0,79.62, Mid Level North Point, Hong Kong Island
Jade Terrace 華翠臺,40000.0,3.0,1.0,60.02, Wanchai/Causeway Bay, Hong Kong Island
Pacific Palisades 寶馬山花園,40000.0,3.0,2.0,74.04, Mid Level North Point, Hong Kong Island
Fair Wind Manor 輝永大廈,40000.0,3.0,2.0,76.37, Mid Level West, Hong Kong Island
Pacific Palisades 寶馬山花園,40000.0,3.0,2.0,76.18, Mid Level North Point, Hong Kong Island
Pacific Palisades 寶馬山花園,40000.0,3.0,2.0,78.5, Mid Level North Point, Hong Kong Island
Pacific Palisades 寶馬山花園,40000.0,3.0,1.0,74.04, Mid Level North Point, Hong Kong Island
ST. JOAN COURT 勝宗大廈,40000.0,1.0,1.0,68.93, Mid Level Central, Hong Kong Island
Pacific Palisades 寶馬山花園,40000.0,3.0,1.0,75.72, Mid Level North Point, Hong Kong Island
ST. JOAN COURT 勝宗大廈,40000.0,1.0,1.0,68.93, Mid Level Central, Hong Kong Island
Pacific Palisades 寶馬山花園,39800.0,3.0,2.0,85.19, Mid Level North Point, Hong Kong Island
Pacific Palisades 寶馬山花園,39000.0,3.0,1.0,78.5, Mid Level North Point, Hong Kong Island
Greencliff 翠壁,39000.0,2.0,2.0,76.92, Happy Valley/Mid Level East, Hong Kong Island
Merry Garden 豐樂新村,39000.0,1.0,1.0,69.86, Wanchai/Causeway Bay, Hong Kong Island
Hollywood Terrace 荷李活華庭,39000.0,3.0,2.0,71.16, Sheung Wan/Central/Admiralty, Hong Kong Island
Pacific Palisades 寶馬山花園,39000.0,3.0,2.0,74.04, Mid Level North Point, Hong Kong Island
The Cullinan 天璽,39000.0,1.0,1.0,40.69, Kowloon Station, Kowloon
Park Avenue 柏景灣,39000.0,3.0,2.0,78.78, Olympic Station, Kowloon
Kensington Hill 高街98號,39000.0,2.0,1.0,52.86, Kennedy Town/Sai Yin Pun, Hong Kong Island
Hillsborough Court 曉峰閣,39000.0,2.0,1.0,71.91, Mid Level Central, Hong Kong Island
Fleur Pavilia 柏蔚山,39000.0,1.0,1.0,60.85, North Point/Fortress Hill, Hong Kong Island
Goldwin Heights 高雲臺,39000.0,3.0,2.0,74.51, Mid Level West, Hong Kong Island
Pacific Palisades 寶馬山花園,39000.0,3.0,2.0,74.88, Mid Level North Point, Hong Kong Island
Pacific Palisades 寶馬山花園,39000.0,3.0,2.0,74.6, Mid Level North Point, Hong Kong Island
Pacific Palisades 寶馬山花園,38800.0,3.0,2.0,81.29, Mid Level North Point, Hong Kong Island
Centre Point 尚賢居,38500.0,2.0,1.0,52.68, Sheung Wan/Central/Admiralty, Hong Kong Island
GARFIELD MANSION 嘉輝大廈,38000.0,2.0,2.0,78.22, Mid Level West, Hong Kong Island
Discovery Bay 愉景灣,38000.0,3.0,2.0,105.72, Discovery Bay/Islands, New Territories West
Tai Peng Village 太平村,38000.0,2.0,2.0,130.06, Lamma Island, New Territories West
Discovery Bay 愉景灣,38000.0,3.0,2.0,107.58, Discovery Bay/Islands, New Territories West
READING PLACE 莊士明德軒,38000.0,2.0,2.0,54.72, Mid Level West, Hong Kong Island
Casa Bella 寶華軒,38000.0,2.0,1.0,52.77, Mid Level West, Hong Kong Island
GARFIELD MANSION 嘉輝大廈,38000.0,3.0,2.0,78.22, Mid Level West, Hong Kong Island
Friendship Court 友誼大廈,38000.0,3.0,2.0,61.97, Happy Valley/Mid Level East, Hong Kong Island
Pacific Palisades 寶馬山花園,38000.0,3.0,2.0,72.74, Mid Level North Point, Hong Kong Island
Kam Kin Mansion 金堅大廈,38000.0,3.0,2.0,86.4, Mid Level West, Hong Kong Island
KING'S COURT 瓊林閣,38000.0,3.0,2.0,76.37, Mid Level West, Hong Kong Island
The Masterpiece 名鑄,38000.0,1.0,1.5,56.11, Tsimshatsui/Jordan, Kowloon
Convention Plaza Apartments 會展中心會景閣,38000.0,,1.0,69.49, Wanchai/Causeway Bay, Hong Kong Island
Convention Plaza Apartments 會展中心會景閣,38000.0,1.0,1.0,57.32, Wanchai/Causeway Bay, Hong Kong Island
Cherry Crest 翠麗軒,37500.0,1.0,2.0,64.66, Sheung Wan/Central/Admiralty, Hong Kong Island
Nikken Heights 日景閣,37500.0,2.0,2.0,70.42, Mid Level West, Hong Kong Island
Great George Building 華登大廈,37000.0,3.0,1.5,89.19, Wanchai/Causeway Bay, Hong Kong Island
Pacific Palisades 寶馬山花園,36800.0,3.0,2.0,77.11, Mid Level North Point, Hong Kong Island
The Urban Edition 晞品,36800.0,1.0,1.0,30.94, Happy Valley/Mid Level East, Hong Kong Island
Pacific Palisades 寶馬山花園,36800.0,3.0,2.0,77.11, Mid Level North Point, Hong Kong Island
ST. JOAN COURT 勝宗大廈,36000.0,1.0,1.0,54.63, Mid Level Central, Hong Kong Island
The Ventris 雲地利閣,35800.0,1.0,1.0,52.68, Happy Valley/Mid Level East, Hong Kong Island
60 Victoria Road 域多利道60號,35800.0,1.0,1.0,52.49, Kennedy Town/Sai Yin Pun, Hong Kong Island
Resiglow - Pokfulam -,35500.0,2.0,1.0,51.19, Kennedy Town/Sai Yin Pun, Hong Kong Island
Ronsdale Garden 龍華花園,35000.0,2.0,2.0,64.47, Wanchai/Causeway Bay, Hong Kong Island
Resiglow - Pokfulam -,35000.0,2.0,1.0,51.19, Kennedy Town/Sai Yin Pun, Hong Kong Island
SCENECLIFF 承德山莊,35000.0,3.0,2.0,73.86, Mid Level West, Hong Kong Island
Caine Mansion 堅都大廈,35000.0,,1.0,45.52, Mid Level West, Hong Kong Island
ST. JOAN COURT 勝宗大廈,35000.0,1.0,1.0,54.63, Mid Level Central, Hong Kong Island
ST. JOAN COURT 勝宗大廈,35000.0,1.0,1.0,54.63, Mid Level Central, Hong Kong Island
Euston Court 豫苑,35000.0,3.0,2.0,72.0, Mid Level West, Hong Kong Island
Fleur Pavilia 柏蔚山,35000.0,1.0,1.0,48.22, North Point/Fortress Hill, Hong Kong Island
High Park 99 蔚峰,35000.0,3.0,2.0,56.3, Kennedy Town/Sai Yin Pun, Hong Kong Island
Hillsborough Court 曉峰閣,35000.0,1.0,1.0,60.02, Mid Level Central, Hong Kong Island
Great George Building 華登大廈,35000.0,2.0,1.0,64.6, Wanchai/Causeway Bay, Hong Kong Island
SCENECLIFF 承德山莊,35000.0,3.0,2.0,73.86, Mid Level West, Hong Kong Island
Grand Promenade 嘉亨灣,35000.0,3.0,2.0,62.71, Lei King Wan/Grand Promenade/Les Saisons/Sai Wan Ho, Hong Kong Island
Laguna Verde 海逸豪園,35000.0,3.0,2.0,80.64, Hung Hum, Kowloon
Fleur Pavilia 柏蔚山,35000.0,2.0,1.0,60.85, North Point/Fortress Hill, Hong Kong Island
One Kowloon Peak 壹號九龍山頂,35000.0,4.0,2.5,114.36, Tsuen Wan, New Territories West
The Belcher's 寶翠園,35000.0,,1.0,61.59, Kennedy Town/Sai Yin Pun, Hong Kong Island
One Kowloon Peak 壹號九龍山頂,34500.0,4.0,2.5,114.18, Tsuen Wan, New Territories West
The Kennedy On Belcher's 雋庭,34300.0,2.0,1.0,41.16, Kennedy Town/Sai Yin Pun, Hong Kong Island
Centre Stage 聚賢居,34000.0,2.0,1.0,41.16, Sheung Wan/Central/Admiralty, Hong Kong Island
The Arch 凱旋門,34000.0,2.0,1.0,49.61, Kowloon Station, Kowloon
Million City,34000.0,1.0,1.0,36.7, Sheung Wan/Central/Admiralty, Hong Kong Island
Yick Fung Garden 益豐花園,34000.0,1.0,1.0,43.2, Kennedy Town/Sai Yin Pun, Hong Kong Island
Elite Court 雅賢軒,34000.0,3.0,2.0,48.96, Sheung Wan/Central/Admiralty, Hong Kong Island
Casa Bella 寶華軒,34000.0,2.0,1.0,52.68, Mid Level West, Hong Kong Island
Grand Metro 都匯,34000.0,3.0,2.0,64.38, Mongkok/Yaumatei, Kowloon
One Kowloon Peak 壹號九龍山頂,34000.0,4.0,2.5,114.36, Tsuen Wan, New Territories West
1 Star Street 滙星壹號,33800.0,2.0,1.0,45.99, Wanchai/Causeway Bay, Hong Kong Island
The Argyle The Argyle,33600.0,3.0,1.0,59.92, Ho Man Tin/King's Park, Kowloon
One Kowloon Peak 壹號九龍山頂,33500.0,4.0,2.5,114.36, Tsuen Wan, New Territories West
One Kowloon Peak 壹號九龍山頂,33200.0,4.0,2.5,114.18, Tsuen Wan, New Territories West
High Park 99 蔚峰,33000.0,2.0,2.0,56.21, Kennedy Town/Sai Yin Pun, Hong Kong Island
Scenic Heights 富景花園,33000.0,2.0,1.0,55.74, Mid Level West, Hong Kong Island
South Horizons 海怡半島,33000.0,3.0,2.0,81.66, Aberdeen/Ap Lei Chau, Hong Kong Island
PEAKSVILLE 蔚巒閣,33000.0,3.0,2.0,60.57, Mid Level West, Hong Kong Island
Great George Building 華登大廈,33000.0,2.0,1.0,75.16, Wanchai/Causeway Bay, Hong Kong Island
One Kowloon Peak 壹號九龍山頂,33000.0,3.0,2.0,105.72, Tsuen Wan, New Territories West
One Kowloon Peak 壹號九龍山頂,33000.0,3.0,2.5,90.39, Tsuen Wan, New Territories West
Lime Gala 形薈,33000.0,2.0,1.0,50.07, Shau Kei Wan/Chai Wan/Island Resort, Hong Kong Island
The Ventris 雲地利閣,32800.0,1.0,1.0,52.68, Happy Valley/Mid Level East, Hong Kong Island
The Kennedy On Belcher's 雋庭,32800.0,2.0,1.0,40.04, Kennedy Town/Sai Yin Pun, Hong Kong Island
Centre Stage 聚賢居,32500.0,2.0,1.0,41.16, Sheung Wan/Central/Admiralty, Hong Kong Island
One Pacific Heights 盈峰一號,32500.0,2.0,1.0,52.77, Sheung Wan/Central/Admiralty, Hong Kong Island
Island Crest 縉城峰,32000.0,2.0,1.0,43.11, Kennedy Town/Sai Yin Pun, Hong Kong Island
Great George Building 華登大廈,32000.0,3.0,1.0,80.73, Wanchai/Causeway Bay, Hong Kong Island
King's Way Mansion 金運大廈,32000.0,3.0,2.0,57.6, North Point/Fortress Hill, Hong Kong Island
The Arch 凱旋門,32000.0,1.0,1.0,39.02, Kowloon Station, Kowloon
King Inn Mansion 景怡大廈,32000.0,3.0,1.0,57.23, Happy Valley/Mid Level East, Hong Kong Island
Grand Waterfront 翔龍灣,32000.0,3.0,2.0,74.79, To Kwa Wan, Kowloon
11 Moon Street 月街11號,32300.0,1.0,1.0,25.08, Wanchai/Causeway Bay, Hong Kong Island
Grand Metro 都匯,31500.0,3.0,2.0,62.25, Mongkok/Yaumatei, Kowloon
3 Chico Terrace 芝古臺3號,31000.0,1.0,1.0,51.28, Mid Level West, Hong Kong Island
THE PIERRE 加冕臺,31000.0,1.0,1.0,39.02, Mid Level West, Hong Kong Island
Grand Metro 都匯,31000.0,3.0,2.0,64.38, Mongkok/Yaumatei, Kowloon
Grand Metro 都匯,31000.0,,1.0,64.38, Mongkok/Yaumatei, Kowloon
Heng Fa Chuen 杏花邨,31000.0,2.0,2.0,76.83, Heng Fa Chuen, Hong Kong Island
South Horizons 海怡半島,31000.0,3.0,2.0,69.4, Aberdeen/Ap Lei Chau, Hong Kong Island
Grand Metro 都匯,30500.0,3.0,2.0,64.38, Mongkok/Yaumatei, Kowloon
SKYLINE MANSION 年豐園,30000.0,4.0,3.5,143.81, Mid Level West, Hong Kong Island
2J Mosque Junction 摩羅廟交加街2J號,30000.0,1.0,1.0,45.52, Mid Level West, Hong Kong Island
Bel Mount Garden 百麗花園,30000.0,2.0,1.0,47.47, Sheung Wan/Central/Admiralty, Hong Kong Island
SCENECLIFF 承德山莊,30000.0,2.0,1.0,50.07, Mid Level West, Hong Kong Island
Savanna Garden 翡翠花園,30000.0,4.0,3.0,103.12, Tai Po Market/Tai Wo, New Territories East
One Wanchai,30000.0,1.0,1.0,42.83, Wanchai/Causeway Bay, Hong Kong Island
Serene Court 西寧閣,30000.0,3.0,2.0,64.57, Kennedy Town/Sai Yin Pun, Hong Kong Island
Valiant Park 駿豪閣,30000.0,1.0,1.0,48.4, Mid Level West, Hong Kong Island
Grand Court 格蘭閣,30000.0,2.0,2.0,82.96, Mid Level West, Hong Kong Island
Grand Metro 都匯,30000.0,3.0,2.0,64.38, Mongkok/Yaumatei, Kowloon
Grand Metro 都匯,30000.0,3.0,2.0,62.25, Mongkok/Yaumatei, Kowloon
Grand Metro 都匯,29500.0,3.0,2.0,64.38, Mongkok/Yaumatei, Kowloon
Great George Building 華登大廈,29500.0,2.0,,55.93, Wanchai/Causeway Bay, Hong Kong Island
The Avenue 囍匯,29500.0,1.0,1.0,40.04, Wanchai/Causeway Bay, Hong Kong Island
15 St. Francis Street 聖佛蘭士街15號,29500.0,1.0,1.0,35.86, Wanchai/Causeway Bay, Hong Kong Island
Resiglow - Pokfulam -,29300.0,1.0,1.0,32.79, Kennedy Town/Sai Yin Pun, Hong Kong Island
Grand Metro 都匯,29000.0,3.0,2.0,62.25, Mongkok/Yaumatei, Kowloon
Vienna Mansion 華納大廈,29000.0,3.0,1.5,82.5, Wanchai/Causeway Bay, Hong Kong Island
SCENECLIFF 承德山莊,29000.0,2.0,1.0,52.21, Mid Level West, Hong Kong Island
18 Catchick Street 吉席街18號,29000.0,3.0,1.0,52.95, Kennedy Town/Sai Yin Pun, Hong Kong Island
Bella Vista 蔚晴軒,29000.0,2.0,1.0,35.58, Mid Level West, Hong Kong Island
J Residence 嘉薈軒,29000.0,1.0,1.0,39.02, Wanchai/Causeway Bay, Hong Kong Island
Hyde Park Mansion 海德大廈,29000.0,3.0,1.5,65.31, Wanchai/Causeway Bay, Hong Kong Island
18 Catchick Street 吉席街18號,28800.0,3.0,2.0,54.81, Kennedy Town/Sai Yin Pun, Hong Kong Island
Yi Serviced Apartments Yi Serviced Apartments,28800.0,1.0,1.0,70.14, Tsimshatsui/Jordan, Kowloon
The Kennedy On Belcher's 雋庭,28500.0,1.0,1.0,35.67, Kennedy Town/Sai Yin Pun, Hong Kong Island
The Victoria Towers 港景峰,28500.0,2.0,2.0,45.8, Tsimshatsui/Jordan, Kowloon
Grand Metro 都匯,28500.0,3.0,2.0,64.38, Mongkok/Yaumatei, Kowloon
Grand Metro 都匯,28500.0,2.0,2.0,62.25, Mongkok/Yaumatei, Kowloon
18 Catchick Street 吉席街18號,28400.0,3.0,1.0,47.66, Kennedy Town/Sai Yin Pun, Hong Kong Island
Resiglow - Pokfulam -,28300.0,1.0,1.0,32.79, Kennedy Town/Sai Yin Pun, Hong Kong Island
Resiglow - Pokfulam -,28100.0,1.0,1.0,32.79, Kennedy Town/Sai Yin Pun, Hong Kong Island
Savanna Garden 翡翠花園,28000.0,3.0,2.0,89.09, Tai Po Market/Tai Wo, New Territories East
5 Moon Street 月街5號,28000.0,1.0,1.0,41.71, Wanchai/Causeway Bay, Hong Kong Island
Pacific Palisades 寶馬山花園,28000.0,1.0,,53.79, Mid Level North Point, Hong Kong Island
Pacific Palisades 寶馬山花園,28000.0,1.0,1.0,51.47, Mid Level North Point, Hong Kong Island
J Residence 嘉薈軒,28000.0,1.0,1.0,39.58, Wanchai/Causeway Bay, Hong Kong Island
HONOR VILLA 翰庭軒,28000.0,2.0,1.0,45.06, Mid Level West, Hong Kong Island
V Happy Valley,28000.0,1.5,1.0,30.94, Happy Valley/Mid Level East, Hong Kong Island
The Victoria Towers 港景峰,28000.0,2.0,2.0,49.7, Tsimshatsui/Jordan, Kowloon
THE ICON -,28000.0,1.0,1.0,41.99, Mid Level West, Hong Kong Island
The Merton 泓都,28000.0,2.0,1.0,44.78, Kennedy Town/Sai Yin Pun, Hong Kong Island
Centre Stage 聚賢居,28000.0,1.0,1.0,37.16, Sheung Wan/Central/Admiralty, Hong Kong Island
Resiglow - Pokfulam -,27900.0,1.0,1.0,32.79, Kennedy Town/Sai Yin Pun, Hong Kong Island
Resiglow - Pokfulam -,27600.0,1.0,1.0,32.79, Kennedy Town/Sai Yin Pun, Hong Kong Island
Grand Metro 都匯,27500.0,3.0,2.0,62.25, Mongkok/Yaumatei, Kowloon
Resiglow - Pokfulam -,27300.0,1.0,1.0,28.99, Kennedy Town/Sai Yin Pun, Hong Kong Island
Resiglow - Pokfulam -,27000.0,1.0,1.0,28.8, Kennedy Town/Sai Yin Pun, Hong Kong Island
THE ICON -,27000.0,1.0,1.0,41.99, Mid Level West, Hong Kong Island
Heng Fa Chuen 杏花邨,27000.0,3.0,2.0,61.22, Heng Fa Chuen, Hong Kong Island
Beaudry Tower 麗怡大廈,27000.0,2.0,1.0,45.89, Mid Level West, Hong Kong Island
Queen's Terrace 帝后華庭,27000.0,2.0,1.0,46.36, Sheung Wan/Central/Admiralty, Hong Kong Island
Tong Nam Mansion 東南大廈,27000.0,2.0,1.0,40.6, Kennedy Town/Sai Yin Pun, Hong Kong Island
V Happy Valley,27000.0,2.0,1.0,30.94, Happy Valley/Mid Level East, Hong Kong Island
THE ICON -,27000.0,1.0,1.0,41.99, Mid Level West, Hong Kong Island
The Zenith 尚翹峰,27000.0,2.0,1.0,45.24, Wanchai/Causeway Bay, Hong Kong Island
Resiglow - Pokfulam -,26500.0,1.0,1.0,32.79, Kennedy Town/Sai Yin Pun, Hong Kong Island
Resiglow - Pokfulam -,26400.0,1.0,1.0,29.26, Kennedy Town/Sai Yin Pun, Hong Kong Island
Resiglow - Pokfulam -,26400.0,1.0,1.0,28.8, Kennedy Town/Sai Yin Pun, Hong Kong Island
Resiglow - Pokfulam -,26400.0,1.0,1.0,28.99, Kennedy Town/Sai Yin Pun, Hong Kong Island
Resiglow - Pokfulam -,26200.0,1.0,1.0,28.99, Kennedy Town/Sai Yin Pun, Hong Kong Island
Resiglow - Pokfulam -,26200.0,1.0,1.0,29.26, Kennedy Town/Sai Yin Pun, Hong Kong Island
64 Centre Street 正街64號,26000.0,2.0,1.0,48.77, Kennedy Town/Sai Yin Pun, Hong Kong Island
Taikoo Shing 太古城,26000.0,2.0,1.0,53.88, TaiKoo Shing, Hong Kong Island
Resiglow - Pokfulam -,26000.0,1.0,1.0,32.79, Kennedy Town/Sai Yin Pun, Hong Kong Island
Bellevue Place 御林豪庭,26000.0,1.0,1.0,32.89, Mid Level West, Hong Kong Island
Green Lodge 翠峰,26000.0,3.0,3.0,90.49, Yuen Long, New Territories West
Avon Court 雅苑,26000.0,2.0,1.0,43.39, Mid Level West, Hong Kong Island
Le Riviera 遠晴,26000.0,2.0,1.0,48.96, Shau Kei Wan/Chai Wan/Island Resort, Hong Kong Island
Resiglow - Pokfulam -,25900.0,1.0,1.0,28.8, Kennedy Town/Sai Yin Pun, Hong Kong Island
Resiglow - Pokfulam -,25900.0,1.0,1.0,28.99, Kennedy Town/Sai Yin Pun, Hong Kong Island
Aquamarine Garden 海慧花園,25800.0,2.0,2.0,66.52, Tuen Mun, New Territories West
York Place 莊士敦道22號,26000.0,1.0,1.0,39.11, Wanchai/Causeway Bay, Hong Kong Island
Resiglow - Pokfulam -,25700.0,1.0,1.0,28.99, Kennedy Town/Sai Yin Pun, Hong Kong Island
York Place 莊士敦道22號,25500.0,1.0,1.0,37.9, Wanchai/Causeway Bay, Hong Kong Island
Sung Tak Mansion 宋德樓,25000.0,1.0,1.0,35.77, Mid Level West, Hong Kong Island
Villa Serene 兆和軒,25000.0,1.0,1.0,30.94, Sheung Wan/Central/Admiralty, Hong Kong Island
Starlight Garden 星輝苑,25000.0,2.0,1.0,38.46, Wanchai/Causeway Bay, Hong Kong Island
Tim Po Court 添寶閣,25000.0,3.0,1.0,47.66, Mid Level West, Hong Kong Island
King's Hill 眀徳山,25000.0,1.0,1.0,30.19, Kennedy Town/Sai Yin Pun, Hong Kong Island
The Elgin 伊利閣,25000.0,1.0,1.0,39.95, Sheung Wan/Central/Admiralty, Hong Kong Island
Soho 38 Soho 38,25000.0,,1.0,24.81, Mid Level West, Hong Kong Island
Bonito Casa Bonito Casa,25000.0,1.0,1.0,38.74, Mid Level West, Hong Kong Island
The Long Beach 浪澄灣,25000.0,2.0,1.0,51.1, Olympic Station, Kowloon
40-42 Circular Pathway 弓絃巷 40-42 號,25000.0,,1.0,30.19, Sheung Wan/Central/Admiralty, Hong Kong Island
Fortune Terrace 富裕臺,25000.0,1.0,1.0,42.27, Tsimshatsui/Jordan, Kowloon
Cayman Rise 加惠臺,25000.0,2.0,1.0,43.11, Kennedy Town/Sai Yin Pun, Hong Kong Island
V Happy Valley,25000.0,2.0,1.0,30.94, Happy Valley/Mid Level East, Hong Kong Island
Laguna Verde 海逸豪園,25000.0,1.0,1.0,52.21, Hung Hum, Kowloon
Caine Tower 景怡居,24000.0,2.0,1.0,41.71, Sheung Wan/Central/Admiralty, Hong Kong Island
Star Studios II -,24000.0,1.0,1.0,21.18, Wanchai/Causeway Bay, Hong Kong Island
89 Caine Road 堅道89號,24000.0,2.0,1.0,45.71, Mid Level West, Hong Kong Island
Dawning Height 匡景居,24000.0,2.0,1.0,32.61, Mid Level West, Hong Kong Island
Jadestone Court 寶玉閣,24000.0,1.0,1.0,30.84, Mid Level West, Hong Kong Island
Star Studios -,24000.0,,1.0,21.18, Wanchai/Causeway Bay, Hong Kong Island
Le Riviera 遠晴,24000.0,2.0,1.0,48.96, Shau Kei Wan/Chai Wan/Island Resort, Hong Kong Island
Rich View Terrace 豪景臺,24000.0,2.0,1.0,36.51, Sheung Wan/Central/Admiralty, Hong Kong Island
Grand Promenade 嘉亨灣,24000.0,2.0,1.0,47.75, Lei King Wan/Grand Promenade/Les Saisons/Sai Wan Ho, Hong Kong Island
Bella Vista 蔚晴軒,24000.0,2.0,1.0,35.58, Mid Level West, Hong Kong Island
New Villa Cecil 新趙苑,23800.0,3.0,1.0,145.3, Discovery Bay/Islands, New Territories West
New Villa Cecil 新趙苑,23800.0,3.0,1.0,145.3, Discovery Bay/Islands, New Territories West
New Villa Cecil 新趙苑,23800.0,3.0,1.0,145.3, Discovery Bay/Islands, New Territories West
Le Riviera 遠晴,23500.0,1.0,1.0,48.96, Shau Kei Wan/Chai Wan/Island Resort, Hong Kong Island
Resiglow - Pokfulam -,23500.0,,1.0,22.85, Kennedy Town/Sai Yin Pun, Hong Kong Island
Le Riviera 遠晴,23000.0,2.0,1.0,48.96, Shau Kei Wan/Chai Wan/Island Resort, Hong Kong Island
Discovery Bay 愉景灣,23000.0,2.0,1.0,57.97, Discovery Bay/Islands, New Territories West
Le Riviera 遠晴,23000.0,2.0,1.0,48.96, Shau Kei Wan/Chai Wan/Island Resort, Hong Kong Island
11-13 Old Bailey Street 奧卑利街11-13號,23000.0,1.0,1.0,27.5, Sheung Wan/Central/Admiralty, Hong Kong Island
Ka Fung Building 嘉豐大廈,23000.0,1.0,1.0,30.66, Kennedy Town/Sai Yin Pun, Hong Kong Island
FAIRVIEW HEIGHT 輝煌臺,23000.0,1.0,1.0,32.7, Mid Level West, Hong Kong Island
GRANDVIEW GARDEN 雍翠臺,23000.0,2.0,1.0,36.7, Sheung Wan/Central/Admiralty, Hong Kong Island
On On Building 安安大樓,23000.0,2.0,1.0,48.5, Wanchai/Causeway Bay, Hong Kong Island
Garley Building 嘉利大廈,23000.0,,1.0,34.75, Sheung Wan/Central/Admiralty, Hong Kong Island
New Fortune House 五福大廈,23000.0,2.0,1.0,37.16, Kennedy Town/Sai Yin Pun, Hong Kong Island
1-3 Ping On Lane 平安里 1-3 號,23000.0,2.0,1.0,46.45, Sheung Wan/Central/Admiralty, Hong Kong Island
7A Elgin Street,23000.0,1.0,1.0,27.13, Mid Level West, Hong Kong Island
CAINE BUILDING 廣堅大廈,22800.0,1.0,1.0,40.51, Mid Level West, Hong Kong Island
The Urban Edition 晞品,22500.0,,1.0,28.43, Happy Valley/Mid Level East, Hong Kong Island
Academic Terrace 學士臺,22500.0,2.0,2.0,48.4, Kennedy Town/Sai Yin Pun, Hong Kong Island
Heng Fa Chuen 杏花邨,22500.0,2.0,1.0,50.82, Heng Fa Chuen, Hong Kong Island
8 Tai On Terrace 大安臺 8 號,22000.0,1.0,1.0,30.94, Sheung Wan/Central/Admiralty, Hong Kong Island
Maxluck Court 美樂閣,22000.0,1.0,1.0,36.7, Mid Level West, Hong Kong Island
Bohemian House 瑧璈,22000.0,,1.0,27.59, Kennedy Town/Sai Yin Pun, Hong Kong Island
Taikoo Shing 太古城,22000.0,2.0,1.0,49.24, TaiKoo Shing, Hong Kong Island
