Place,Price,Bedroom,Bathroom,Saleable Area,Area,Region
Ridge Court 冠園,73000000.0,3.0,2.0,165.37, Peak/South, Hong Kong Island
REPULSE BAY GARDEN 淺水灣麗景園,73000000.0,3.0,2.0,190.36, Peak/South, Hong Kong Island
AZURA 蔚然,72000000.0,3.0,3.0,120.5, Mid Level West, Hong Kong Island
MARINELLA 深湾九號,71000000.0,4.0,3.0,153.29, Aberdeen/Ap Lei Chau, Hong Kong Island
Kennedy Terrace,70000000.0,3.0,3.5,208.1, Mid Level Central, Hong Kong Island
Aqua Blue 浪濤灣,70000000.0,4.0,3.5,198.16, Tuen Mun, New Territories West
MING VILLA 明苑小築,70000000.0,4.0,4.0,307.6, Tsuen Wan, New Territories West
MARINELLA 深湾九號,70000000.0,4.0,3.0,167.88, Aberdeen/Ap Lei Chau, Hong Kong Island
MARINELLA 深湾九號,70000000.0,4.0,3.0,158.21, Aberdeen/Ap Lei Chau, Hong Kong Island
AZURA 蔚然,70000000.0,3.0,3.0,120.03, Mid Level West, Hong Kong Island
Po Garden 寶園,69000000.0,4.0,2.0,180.42, Mid Level West, Hong Kong Island
45 Island Road 香島道45號,68800000.0,4.0,3.0,122.07, Peak/South, Hong Kong Island
AZURA 蔚然,68000000.0,3.0,3.0,120.5, Mid Level West, Hong Kong Island
REALTY GARDENS 聯邦花園,67000000.0,5.0,4.0,216.65, Mid Level West, Hong Kong Island
Ming Wai Gardens 明慧園,66800000.0,3.0,2.0,147.07, Peak/South, Hong Kong Island
Mayfair by the Sea 逸瓏灣,66800000.0,4.0,3.0,145.02, Tai Po Market/Tai Wo, New Territories East
La Mer 浪頤居,65000000.0,3.0,2.0,169.18, Peak/South, Hong Kong Island
The Masterpiece 名鑄,65000000.0,3.0,3.0,135.73, Tsimshatsui/Jordan, Kowloon
REPULSE BAY GARDEN 淺水灣麗景園,65000000.0,3.0,2.0,190.36, Peak/South, Hong Kong Island
MARINELLA 深湾九號,65000000.0,4.0,3.0,153.29, Aberdeen/Ap Lei Chau, Hong Kong Island
Regal Crest 薈萃苑,65000000.0,3.0,2.0,162.21, Mid Level West, Hong Kong Island
AZURA 蔚然,65000000.0,3.0,3.0,120.5, Mid Level West, Hong Kong Island
55 Conduit Road 璈珀,64000000.0,3.0,2.0,142.88, Mid Level West, Hong Kong Island
Hong Villa 峰景,63800000.0,3.0,2.5,146.69, Mid Level Central, Hong Kong Island
Residence Bel-air* 貝沙灣,63500000.0,4.0,3.5,165.37, Bel-Air, Hong Kong Island
SEYMOUR 懿峰,63000000.0,5.0,2.0,160.72, Mid Level West, Hong Kong Island
The Wonderland 家和園,62800000.0,5.0,5.0,277.41, Sham Tseng/Castle Peak Road (Tuen Mun Portion), New Territories West
HONG KONG PARKVIEW 陽明山莊,62000000.0,4.0,2.0,214.42, Peak/South, Hong Kong Island
AZURA 蔚然,61800000.0,4.0,3.0,148.46, Mid Level West, Hong Kong Island
Villa Pergola 百高別墅,60000000.0,3.0,3.0,158.77, Sai Kung, New Territories East
SEYMOUR 懿峰,60000000.0,3.0,2.0,129.88, Mid Level West, Hong Kong Island
MARINELLA 深湾九號,60000000.0,3.0,2.0,101.64, Aberdeen/Ap Lei Chau, Hong Kong Island
MARINELLA 深湾九號,60000000.0,3.0,2.0,117.8, Aberdeen/Ap Lei Chau, Hong Kong Island
Beaulieu Peninsula 蟠龍半島,59800000.0,3.0,2.5,222.41, Tuen Mun, New Territories West
BISNEY VIEW 碧荔道47-49號,59800000.0,4.0,3.0,165.27, Mid Level West, Hong Kong Island
The Mangrove 紅樹海岸,59800000.0,7.0,6.0,390.19, Sai Kung, New Territories East
